department;team;targeted_productivity;smv;over_time;incentive;idle_time;idle_men;no_of_style_change;no_of_workers;actual_productivity
sweing;8;0.8;26.16;7080;98;0;0;0;59;0.940725424
finishing ;1;0.75;3.94;960;0;0;0;0;8;0.8865
sweing;11;0.8;11.41;3660;50;0;0;0;30.5;0.800570492
sweing;12;0.8;11.41;3660;50;0;0;0;30.5;0.800570492
sweing;6;0.8;25.9;1920;50;0;0;0;56;0.800381944
sweing;7;0.8;25.9;6720;38;0;0;0;56;0.800125
finishing ;2;0.75;3.94;960;0;0;0;0;8;0.755166667
sweing;3;0.75;28.08;6900;45;0;0;0;57.5;0.753683478
sweing;2;0.75;19.87;6000;34;0;0;0;55;0.753097531
sweing;1;0.75;28.08;6900;45;0;0;0;57.5;0.750427826
sweing;9;0.7;28.08;6900;44;0;0;0;57.5;0.721126957
sweing;10;0.75;19.31;6480;45;0;0;0;54;0.712205247
sweing;5;0.8;11.41;3660;50;0;0;0;30.5;0.707045902
finishing ;10;0.65;3.94;960;0;0;0;0;8;0.705916667
finishing ;8;0.75;2.9;960;0;0;0;0;8;0.676666667
finishing ;4;0.75;3.94;2160;0;0;0;0;18;0.593055556
finishing ;7;0.8;2.9;960;0;0;0;0;8;0.540729167
sweing;4;0.65;23.69;7200;0;0;0;0;60;0.52118
finishing;11;0.7;4.15;1440;0;0;0;0;12;0.436326389
finishing ;4;0.8;4.15;6600;0;0;0;0;20;0.988024691
finishing ;11;0.75;2.9;5640;0;0;0;0;17;0.987880435
finishing ;9;0.8;4.15;960;0;0;0;0;8;0.956270833
finishing ;3;0.75;3.94;1560;0;0;0;0;8;0.945277778
finishing ;1;0.8;3.94;960;0;0;0;0;8;0.902916667
sweing;1;0.8;28.08;6300;50;0;0;0;56.5;0.800725314
sweing;3;0.8;28.08;6540;50;0;0;0;54.5;0.800322936
sweing;8;0.8;26.16;7080;50;0;0;0;59;0.800318644
sweing;12;0.8;26.16;7080;63;0;0;0;59;0.800318644
sweing;11;0.8;11.61;7080;50;0;0;0;29.5;0.800237288
sweing;5;0.8;11.61;7080;50;0;0;0;31.5;0.800148649
sweing;6;0.8;25.9;6720;50;0;0;0;56;0.800125
sweing;7;0.8;25.9;6720;38;0;0;0;56;0.800125
sweing;10;0.75;19.31;6480;56;0;0;0;54;0.787299691
finishing ;2;0.8;4.15;960;0;0;0;0;8;0.782447917
sweing;2;0.75;19.87;6600;45;0;0;0;55;0.75024303
finishing ;10;0.7;4.15;960;0;0;0;0;8;0.7018125
sweing;4;0.7;23.69;13800;0;0;0;0;60;0.700134038
sweing;9;0.7;28.08;6900;40;0;0;0;57.5;0.699965217
finishing ;8;0.8;2.9;960;0;0;0;0;8;0.628333333
finishing ;7;0.8;3.94;960;0;0;0;0;8;0.6253125
finishing ;3;0.75;4.15;1560;0;0;0;0;8;0.991388889
finishing ;9;0.8;3.94;960;0;0;0;0;8;0.931645833
finishing ;1;0.8;3.94;960;0;0;0;0;8;0.915229167
sweing;6;0.8;11.61;6975;50;0;0;0;31;0.879714482
finishing ;4;0.8;3.94;6600;0;0;0;0;20;0.861679012
sweing;9;0.8;26.16;7080;60;0;0;0;59;0.850569492
sweing;7;0.8;25.9;7020;60;0;0;0;56.5;0.850436438
sweing;8;0.8;25.9;6780;45;0;0;0;56.5;0.850345133
sweing;4;0.8;28.08;4260;50;0;0;0;55.5;0.800598058
sweing;1;0.8;26.16;7080;63;0;0;0;59;0.800318644
sweing;2;0.8;28.08;6660;50;0;0;0;55.5;0.800237838
sweing;12;0.8;11.61;6975;50;0;0;0;31;0.800030199
finishing ;2;0.8;3.94;960;0;0;0;0;8;0.792104167
finishing ;10;0.7;3.94;4320;0;0;0;0;18;0.759228395
sweing;11;0.75;19.31;6480;45;0;0;0;54;0.750348457
sweing;3;0.75;19.87;6600;45;0;0;0;55;0.75024303
sweing;10;0.7;28.08;6900;40;0;0;0;57.5;0.699965217
finishing ;8;0.8;2.9;960;0;0;0;0;8;0.682708333
finishing ;7;0.8;2.9;960;0;0;0;0;8;0.667604167
sweing;5;0.7;45.67;6960;26;0;0;0;58;0.603432184
finishing ;11;0.75;4.15;960;0;0;0;0;8;0.345833333
finishing ;1;0.8;3.94;1920;0;0;0;0;8;0.961059028
finishing ;11;0.8;3.94;2400;0;0;0;0;10;0.939513889
finishing ;4;0.8;3.94;3840;0;0;0;0;16;0.893663194
finishing ;3;0.75;4.15;1920;0;0;0;0;8;0.875390625
